Location_Name,Register_Number,Endpoint_SN,Meter_ID,Meter_SN,Read_Time,Service_Point_Timezone,Read,Read_Unit,Read_Method,Encoder_Read,Flow_Time,Flow_Unit,Flow,Account_ID,Location_ID,Account_Full_Name,Billing_Address_Line1,Billing_Address_Line2,Billing_Address_Line3,Billing_City,Billing_State,Billing_ZIP,Location_Address_Line1,Location_City,Location_State,Location_ZIP,Service_Point_ID,Service_Point_Class_Code,Service_Point_Route,Service_Point_Cycle,Meter_Manufacturer,Meter_Model,Register_Resolution,Register_Unit_Of_Measure,Meter_Size,Meter_Size_Desc,Dials,Service_Point_Latitude,Service_Point_Longitude,Endpoint_Type,Connector Type,Endpoint Status,Battery Level,Signal Strength,Last Comm. Time,Last Gateway Id,Estimated Flag,Current Leak Start Date,Current Leak Rate Per Hour,Backflow (gal/30 days),Supply_Zone_ID,Demand_Zone_ID
North Plant AHU Condensate,,120976276,1074319,1074319,2024-05,US/Central,34700.35,KGAL,Network,3470035,2024-05,Gallons,420,98805,98805,North Plant AHU Condensate,,,,,,,6100 Main Street,Houston,TX,77005,98805-01,,Rice,,Onicon,F-4600,10,GAL,2,"2""",,29.720783,-95.400549,J,Unspecified,Active,good,good,2024-08,,1,2024-06,160,,,
North Plant AHU Condensate,,120976276,1074319,1074319,2024-05,US/Central,34729.86,KGAL,Network,3472986,2024-05,Gallons,458960,98805,98805,North Plant AHU Condensate,,,,,,,6100 Main Street,Houston,TX,77005,98805-01,,Rice,,Onicon,F-4600,10,GAL,2,"2""",,29.720783,-95.400549,J,Unspecified,Active,good,good,2024-08,,0,2024-06,160,,,
North Plant AHU Condensate,,120976276,1074319,1074319,2024-06,US/Central,35051.91,KGAL,Network,3505191,2024-06,Gallons,3350,98805,98805,North Plant AHU Condensate,,,,,,,6100 Main Street,Houston,TX,77005,98805-01,,Rice,,Onicon,F-4600,10,GAL,2,"2""",,29.720783,-95.400549,J,Unspecified,Active,good,good,2024-08,,1,2024-06,160,,,
North Plant AHU Condensate,,120976276,1074319,1074319,2024-06,US/Central,35235.7,KGAL,Network,3523570,2024-06,Gallons,502490,98805,98805,North Plant AHU Condensate,,,,,,,6100 Main Street,Houston,TX,77005,98805-01,,Rice,,Onicon,F-4600,10,GAL,2,"2""",,29.720783,-95.400549,J,Unspecified,Active,good,good,2024-08,,0,2024-06,160,,,
Jones College Fountain,,120610365,16944306,16944306,2023-07,US/Central,134.8363,KGAL,Network,13483630,2023-07,Gallons,2599.4,98776,98776,Jones College Fountain,,,,,,,6100 Main Street,Houston,TX,77005,98776-01,,Rice,,Badger,E-Series,0.01,GAL,1,"1""",9,29.721336,-95.396863,J,None,Active,good,good,2024-08,,0,,,4,,
Jones College Fountain,,120610365,16944306,16944306,2023-08,US/Central,167.7729,KGAL,Network,16777290,2023-08,Gallons,32937,98776,98776,Jones College Fountain,,,,,,,6100 Main Street,Houston,TX,77005,98776-01,,Rice,,Badger,E-Series,0.01,GAL,1,"1""",9,29.721336,-95.396863,J,None,Active,good,good,2024-08,,0,,,4,,
Jones College Fountain,,120610365,16944306,16944306,2023-09,US/Central,168.1624,KGAL,Network,16816240,2023-09,Gallons,388.4,98776,98776,Jones College Fountain,,,,,,,6100 Main Street,Houston,TX,77005,98776-01,,Rice,,Badger,E-Series,0.01,GAL,1,"1""",9,29.721336,-95.396863,J,None,Active,good,good,2024-08,,0,,,4,,
Jones College Fountain,,120610365,16944306,16944306,2023-10,US/Central,168.161,KGAL,Network,16816100,2023-10,Gallons,-1.6,98776,98776,Jones College Fountain,,,,,,,6100 Main Street,Houston,TX,77005,98776-01,,Rice,,Badger,E-Series,0.01,GAL,1,"1""",9,29.721336,-95.396863,J,None,Active,good,good,2024-08,,0,,,4,,
Jones College Fountain,,120610365,16944306,16944306,2023-11,US/Central,168.1594,KGAL,Network,16815940,2023-11,Gallons,-0.2,98776,98776,Jones College Fountain,,,,,,,6100 Main Street,Houston,TX,77005,98776-01,,Rice,,Badger,E-Series,0.01,GAL,1,"1""",9,29.721336,-95.396863,J,None,Active,good,good,2024-08,,0,,,4,,
Jones College Fountain,,120610365,16944306,16944306,2023-12,US/Central,168.1592,KGAL,Network,16815920,2023-12,Gallons,-0.6,98776,98776,Jones College Fountain,,,,,,,6100 Main Street,Houston,TX,77005,98776-01,,Rice,,Badger,E-Series,0.01,GAL,1,"1""",9,29.721336,-95.396863,J,None,Active,good,good,2024-08,,0,,,4,,
Jones College Fountain,,120610365,16944306,16944306,2024-01,US/Central,170.0244,KGAL,Network,17002440,2024-01,Gallons,1865.8,98776,98776,Jones College Fountain,,,,,,,6100 Main Street,Houston,TX,77005,98776-01,,Rice,,Badger,E-Series,0.01,GAL,1,"1""",9,29.721336,-95.396863,J,None,Active,good,good,2024-08,,0,,,4,,
Jones College Fountain,,120610365,16944306,16944306,2024-02,US/Central,173.9807,KGAL,Network,17398070,2024-02,Gallons,3956.3,98776,98776,Jones College Fountain,,,,,,,6100 Main Street,Houston,TX,77005,98776-01,,Rice,,Badger,E-Series,0.01,GAL,1,"1""",9,29.721336,-95.396863,J,None,Active,good,good,2024-08,,0,,,4,,
Jones College Fountain,,120610365,16944306,16944306,2024-03,US/Central,190.6633,KGAL,Network,19066330,2024-03,Gallons,16682.6,98776,98776,Jones College Fountain,,,,,,,6100 Main Street,Houston,TX,77005,98776-01,,Rice,,Badger,E-Series,0.01,GAL,1,"1""",9,29.721336,-95.396863,J,None,Active,good,good,2024-08,,0,,,4,,
Jones College Fountain,,120610365,16944306,16944306,2024-04,US/Central,202.4622,KGAL,Network,20246220,2024-04,Gallons,11798.9,98776,98776,Jones College Fountain,,,,,,,6100 Main Street,Houston,TX,77005,98776-01,,Rice,,Badger,E-Series,0.01,GAL,1,"1""",9,29.721336,-95.396863,J,None,Active,good,good,2024-08,,0,,,4,,
Jones College Fountain,,120610365,16944306,16944306,2024-05,US/Central,206.6005,KGAL,Network,20660050,2024-05,Gallons,4138.3,98776,98776,Jones College Fountain,,,,,,,6100 Main Street,Houston,TX,77005,98776-01,,Rice,,Badger,E-Series,0.01,GAL,1,"1""",9,29.721336,-95.396863,J,None,Active,good,good,2024-08,,0,,,4,,
Jones College Fountain,,120610365,16944306,16944306,2024-06,US/Central,215.0301,KGAL,Network,21503010,2024-06,Gallons,8429.6,98776,98776,Jones College Fountain,,,,,,,6100 Main Street,Houston,TX,77005,98776-01,,Rice,,Badger,E-Series,0.01,GAL,1,"1""",9,29.721336,-95.396863,J,None,Active,good,good,2024-08,,0,,,4,,
South Plant Cooling Tower Blowdown,,130678851,17123967,17923967,2023-07,US/Central,14300.448,KGAL,Network,143004480,2023-07,Gallons,508475,98822,98822,South Plant Cooling Tower Blowdown,,,,,,,6100 Main Street,Houston,TX,77005,98822-01,,Rice,,Badger,T200,0.1,GAL,2,"2""",9,29.713937,-95.400017,J,None,Active,good,good,2024-08,,0,,,94,,
South Plant Cooling Tower Blowdown,,130678851,17123967,17923967,2023-08,US/Central,14851.469,KGAL,Network,148514690,2023-08,Gallons,551021,98822,98822,South Plant Cooling Tower Blowdown,,,,,,,6100 Main Street,Houston,TX,77005,98822-01,,Rice,,Badger,T200,0.1,GAL,2,"2""",9,29.713937,-95.400017,J,None,Active,good,good,2024-08,,0,,,94,,
South Plant Cooling Tower Blowdown,,130678851,17123967,17923967,2023-09,US/Central,15290.016,KGAL,Network,152900160,2023-09,Gallons,438547,98822,98822,South Plant Cooling Tower Blowdown,,,,,,,6100 Main Street,Houston,TX,77005,98822-01,,Rice,,Badger,T200,0.1,GAL,2,"2""",9,29.713937,-95.400017,J,None,Active,good,good,2024-08,,0,,,94,,
South Plant Cooling Tower Blowdown,,130678851,17123967,17923967,2023-10,US/Central,15628.521,KGAL,Network,156285210,2023-10,Gallons,338505,98822,98822,South Plant Cooling Tower Blowdown,,,,,,,6100 Main Street,Houston,TX,77005,98822-01,,Rice,,Badger,T200,0.1,GAL,2,"2""",9,29.713937,-95.400017,J,None,Active,good,good,2024-08,,0,,,94,,
South Plant Cooling Tower Blowdown,,130678851,17123967,17923967,2023-11,US/Central,15754.049,KGAL,Network,157540490,2023-11,Gallons,125528,98822,98822,South Plant Cooling Tower Blowdown,,,,,,,6100 Main Street,Houston,TX,77005,98822-01,,Rice,,Badger,T200,0.1,GAL,2,"2""",9,29.713937,-95.400017,J,None,Active,good,good,2024-08,,0,,,94,,
South Plant Cooling Tower Blowdown,,130678851,17123967,17923967,2023-12,US/Central,15890.577,KGAL,Network,158905770,2023-12,Gallons,136528,98822,98822,South Plant Cooling Tower Blowdown,,,,,,,6100 Main Street,Houston,TX,77005,98822-01,,Rice,,Badger,T200,0.1,GAL,2,"2""",9,29.713937,-95.400017,J,None,Active,good,good,2024-08,,0,,,94,,
South Plant Cooling Tower Blowdown,,130678851,17123967,17923967,2024-01,US/Central,16046.123,KGAL,Network,160461230,2024-01,Gallons,155546,98822,98822,South Plant Cooling Tower Blowdown,,,,,,,6100 Main Street,Houston,TX,77005,98822-01,,Rice,,Badger,T200,0.1,GAL,2,"2""",9,29.713937,-95.400017,J,None,Active,good,good,2024-08,,0,,,94,,
South Plant Cooling Tower Blowdown,,130678851,17123967,17923967,2024-02,US/Central,16165.545,KGAL,Network,161655450,2024-02,Gallons,119422,98822,98822,South Plant Cooling Tower Blowdown,,,,,,,6100 Main Street,Houston,TX,77005,98822-01,,Rice,,Badger,T200,0.1,GAL,2,"2""",9,29.713937,-95.400017,J,None,Active,good,good,2024-08,,0,,,94,,
South Plant Cooling Tower Blowdown,,130678851,17123967,17923967,2024-03,US/Central,16359.647,KGAL,Network,163596470,2024-03,Gallons,194102,98822,98822,South Plant Cooling Tower Blowdown,,,,,,,6100 Main Street,Houston,TX,77005,98822-01,,Rice,,Badger,T200,0.1,GAL,2,"2""",9,29.713937,-95.400017,J,None,Active,good,good,2024-08,,0,,,94,,
South Plant Cooling Tower Blowdown,,130678851,17123967,17923967,2024-04,US/Central,16567.665,KGAL,Network,165676650,2024-04,Gallons,208018,98822,98822,South Plant Cooling Tower Blowdown,,,,,,,6100 Main Street,Houston,TX,77005,98822-01,,Rice,,Badger,T200,0.1,GAL,2,"2""",9,29.713937,-95.400017,J,None,Active,good,good,2024-08,,0,,,94,,
South Plant Cooling Tower Blowdown,,130678851,17123967,17923967,2024-05,US/Central,16802.514,KGAL,Network,168025140,2024-05,Gallons,234849,98822,98822,South Plant Cooling Tower Blowdown,,,,,,,6100 Main Street,Houston,TX,77005,98822-01,,Rice,,Badger,T200,0.1,GAL,2,"2""",9,29.713937,-95.400017,J,None,Active,good,good,2024-08,,0,,,94,,
South Plant Cooling Tower Blowdown,,130678851,17123967,17923967,2024-06,US/Central,17117.983,KGAL,Network,171179830,2024-06,Gallons,315469,98822,98822,South Plant Cooling Tower Blowdown,,,,,,,6100 Main Street,Houston,TX,77005,98822-01,,Rice,,Badger,T200,0.1,GAL,2,"2""",9,29.713937,-95.400017,J,None,Active,good,good,2024-08,,0,,,94,,
Recreation Pool Fill,,120579603,200444418,200444418,2023-07,US/Central,772.05,KGAL,Network,7720500,2023-07,Gallons,56467,98766,98766,Recreation Pool Fill,,,,,,,6100 Main Street,Houston,TX,77005,98766-01,,Rice,,Badger,E-Series,0.1,GAL,2,"2""",9,29.718181,-95.40442,J,None,Active,good,good,2024-08,,0,,,,,
Recreation Pool Fill,,120579603,200444418,200444418,2023-08,US/Central,830.785,KGAL,Network,8307850,2023-08,Gallons,58735,98766,98766,Recreation Pool Fill,,,,,,,6100 Main Street,Houston,TX,77005,98766-01,,Rice,,Badger,E-Series,0.1,GAL,2,"2""",9,29.718181,-95.40442,J,None,Active,good,good,2024-08,,0,,,,,
Recreation Pool Fill,,120579603,200444418,200444418,2023-09,US/Central,902.221,KGAL,Network,9022210,2023-09,Gallons,71436,98766,98766,Recreation Pool Fill,,,,,,,6100 Main Street,Houston,TX,77005,98766-01,,Rice,,Badger,E-Series,0.1,GAL,2,"2""",9,29.718181,-95.40442,J,None,Active,good,good,2024-08,,0,,,,,
Recreation Pool Fill,,120579603,200444418,200444418,2023-10,US/Central,938.221,KGAL,Network,9382210,2023-10,Gallons,36000,98766,98766,Recreation Pool Fill,,,,,,,6100 Main Street,Houston,TX,77005,98766-01,,Rice,,Badger,E-Series,0.1,GAL,2,"2""",9,29.718181,-95.40442,J,None,Active,good,good,2024-08,,0,,,,,
Recreation Pool Fill,,120579603,200444418,200444418,2023-11,US/Central,955.966,KGAL,Network,9559660,2023-11,Gallons,17745,98766,98766,Recreation Pool Fill,,,,,,,6100 Main Street,Houston,TX,77005,98766-01,,Rice,,Badger,E-Series,0.1,GAL,2,"2""",9,29.718181,-95.40442,J,None,Active,good,good,2024-08,,0,,,,,
Recreation Pool Fill,,120579603,200444418,200444418,2023-12,US/Central,973.009,KGAL,Network,9730090,2023-12,Gallons,17043,98766,98766,Recreation Pool Fill,,,,,,,6100 Main Street,Houston,TX,77005,98766-01,,Rice,,Badger,E-Series,0.1,GAL,2,"2""",9,29.718181,-95.40442,J,None,Active,good,good,2024-08,,0,,,,,
Recreation Pool Fill,,120579603,200444418,200444418,2024-01,US/Central,1014.377,KGAL,Network,10143770,2024-01,Gallons,41368,98766,98766,Recreation Pool Fill,,,,,,,6100 Main Street,Houston,TX,77005,98766-01,,Rice,,Badger,E-Series,0.1,GAL,2,"2""",9,29.718181,-95.40442,J,None,Active,good,good,2024-08,,0,,,,,
Recreation Pool Fill,,120579603,200444418,200444418,2024-02,US/Central,1034.559,KGAL,Network,10345590,2024-02,Gallons,20182,98766,98766,Recreation Pool Fill,,,,,,,6100 Main Street,Houston,TX,77005,98766-01,,Rice,,Badger,E-Series,0.1,GAL,2,"2""",9,29.718181,-95.40442,J,None,Active,good,good,2024-08,,0,,,,,
Recreation Pool Fill,,120579603,200444418,200444418,2024-03,US/Central,1104.662,KGAL,Network,11046620,2024-03,Gallons,70103,98766,98766,Recreation Pool Fill,,,,,,,6100 Main Street,Houston,TX,77005,98766-01,,Rice,,Badger,E-Series,0.1,GAL,2,"2""",9,29.718181,-95.40442,J,None,Active,good,good,2024-08,,0,,,,,
Recreation Pool Fill,,120579603,200444418,200444418,2024-04,US/Central,1120.79,KGAL,Network,11207900,2024-04,Gallons,16128,98766,98766,Recreation Pool Fill,,,,,,,6100 Main Street,Houston,TX,77005,98766-01,,Rice,,Badger,E-Series,0.1,GAL,2,"2""",9,29.718181,-95.40442,J,None,Active,good,good,2024-08,,0,,,,,
Recreation Pool Fill,,120579603,200444418,200444418,2024-05,US/Central,1139.23,KGAL,Network,11392300,2024-05,Gallons,18440,98766,98766,Recreation Pool Fill,,,,,,,6100 Main Street,Houston,TX,77005,98766-01,,Rice,,Badger,E-Series,0.1,GAL,2,"2""",9,29.718181,-95.40442,J,None,Active,good,good,2024-08,,0,,,,,
Recreation Pool Fill,,120579603,200444418,200444418,2024-06,US/Central,1151.622,KGAL,Network,11516220,2024-06,Gallons,12392,98766,98766,Recreation Pool Fill,,,,,,,6100 Main Street,Houston,TX,77005,98766-01,,Rice,,Badger,E-Series,0.1,GAL,2,"2""",9,29.718181,-95.40442,J,None,Active,good,good,2024-08,,0,,,,,
McNair Hall Fountain,,120693781,200520448,200520448,2023-07,US/Central,366.1614,KGAL,Network,36616140,2023-07,Gallons,2247.3,98774,98774,McNair Hall Fountain,,,,,,,6100 Main Street,Houston,TX,77005,98774-01,,Rice,,Badger,E-Series,0.01,GAL,1,"1""",9,29.717338,-95.403983,J,None,Active,good,good,2024-08,,0,,,,,
McNair Hall Fountain,,120693781,200520448,200520448,2023-08,US/Central,366.4557,KGAL,Network,36645570,2023-08,Gallons,294.3,98774,98774,McNair Hall Fountain,,,,,,,6100 Main Street,Houston,TX,77005,98774-01,,Rice,,Badger,E-Series,0.01,GAL,1,"1""",9,29.717338,-95.403983,J,None,Active,good,good,2024-08,,0,,,,,
McNair Hall Fountain,,120693781,200520448,200520448,2023-09,US/Central,366.4557,KGAL,Network,36645570,2023-09,Gallons,0,98774,98774,McNair Hall Fountain,,,,,,,6100 Main Street,Houston,TX,77005,98774-01,,Rice,,Badger,E-Series,0.01,GAL,1,"1""",9,29.717338,-95.403983,J,None,Active,good,good,2024-08,,1,,,,,
McNair Hall Fountain,,120693781,200520448,200520448,2023-09,US/Central,366.4557,KGAL,Network,36645570,2023-09,Gallons,0,98774,98774,McNair Hall Fountain,,,,,,,6100 Main Street,Houston,TX,77005,98774-01,,Rice,,Badger,E-Series,0.01,GAL,1,"1""",9,29.717338,-95.403983,J,None,Active,good,good,2024-08,,0,,,,,
McNair Hall Fountain,,120693781,200520448,200520448,2023-10,US/Central,366.4557,KGAL,Network,36645570,2023-10,Gallons,0,98774,98774,McNair Hall Fountain,,,,,,,6100 Main Street,Houston,TX,77005,98774-01,,Rice,,Badger,E-Series,0.01,GAL,1,"1""",9,29.717338,-95.403983,J,None,Active,good,good,2024-08,,0,,,,,
McNair Hall Fountain,,120693781,200520448,200520448,2023-11,US/Central,366.4557,KGAL,Network,36645570,2023-11,Gallons,0,98774,98774,McNair Hall Fountain,,,,,,,6100 Main Street,Houston,TX,77005,98774-01,,Rice,,Badger,E-Series,0.01,GAL,1,"1""",9,29.717338,-95.403983,J,None,Active,good,good,2024-08,,0,,,,,
McNair Hall Fountain,,120693781,200520448,200520448,2023-12,US/Central,366.4557,KGAL,Network,36645570,2023-12,Gallons,0,98774,98774,McNair Hall Fountain,,,,,,,6100 Main Street,Houston,TX,77005,98774-01,,Rice,,Badger,E-Series,0.01,GAL,1,"1""",9,29.717338,-95.403983,J,None,Active,good,good,2024-08,,0,,,,,
McNair Hall Fountain,,120693781,200520448,200520448,2024-01,US/Central,366.4557,KGAL,Network,36645570,2024-01,Gallons,0,98774,98774,McNair Hall Fountain,,,,,,,6100 Main Street,Houston,TX,77005,98774-01,,Rice,,Badger,E-Series,0.01,GAL,1,"1""",9,29.717338,-95.403983,J,None,Active,good,good,2024-08,,0,,,,,
McNair Hall Fountain,,120693781,200520448,200520448,2024-02,US/Central,366.4557,KGAL,Network,36645570,2024-02,Gallons,0,98774,98774,McNair Hall Fountain,,,,,,,6100 Main Street,Houston,TX,77005,98774-01,,Rice,,Badger,E-Series,0.01,GAL,1,"1""",9,29.717338,-95.403983,J,None,Active,good,good,2024-08,,0,,,,,
McNair Hall Fountain,,120693781,200520448,200520448,2024-03,US/Central,366.4557,KGAL,Network,36645570,2024-03,Gallons,0,98774,98774,McNair Hall Fountain,,,,,,,6100 Main Street,Houston,TX,77005,98774-01,,Rice,,Badger,E-Series,0.01,GAL,1,"1""",9,29.717338,-95.403983,J,None,Active,good,good,2024-08,,0,,,,,
McNair Hall Fountain,,120693781,200520448,200520448,2024-04,US/Central,366.4557,KGAL,Network,36645570,2024-04,Gallons,0,98774,98774,McNair Hall Fountain,,,,,,,6100 Main Street,Houston,TX,77005,98774-01,,Rice,,Badger,E-Series,0.01,GAL,1,"1""",9,29.717338,-95.403983,J,None,Active,good,good,2024-08,,0,,,,,
McNair Hall Fountain,,120693781,200520448,200520448,2024-05,US/Central,366.4557,KGAL,Network,36645570,2024-05,Gallons,0,98774,98774,McNair Hall Fountain,,,,,,,6100 Main Street,Houston,TX,77005,98774-01,,Rice,,Badger,E-Series,0.01,GAL,1,"1""",9,29.717338,-95.403983,J,None,Active,good,good,2024-08,,0,,,,,
McNair Hall Fountain,,120693781,200520448,200520448,2024-06,US/Central,366.4557,KGAL,Network,36645570,2024-06,Gallons,0,98774,98774,McNair Hall Fountain,,,,,,,6100 Main Street,Houston,TX,77005,98774-01,,Rice,,Badger,E-Series,0.01,GAL,1,"1""",9,29.717338,-95.403983,J,None,Active,good,good,2024-08,,1,,,,,
McNair Hall Fountain,,120693781,200520448,200520448,2024-06,US/Central,366.4557,KGAL,Network,36645570,2024-06,Gallons,0,98774,98774,McNair Hall Fountain,,,,,,,6100 Main Street,Houston,TX,77005,98774-01,,Rice,,Badger,E-Series,0.01,GAL,1,"1""",9,29.717338,-95.403983,J,None,Active,good,good,2024-08,,0,,,,,
South Plant AHU Condensate Return,,120692813,200572009,200572009,2023-07,US/Central,17789.8782,KGAL,Network,177898782,2023-07,Gallons,1848340.8,98768,98768,South Plant AHU Condensate Return,,,,,,,6100 Main Street,Houston,TX,77005,98768-01,,Rice,,Badger,T1000,0.1,GAL,4,"4""",9,29.714072,-95.399775,J,None,Active,good,good,2024-08,,0,,,,,
South Plant AHU Condensate Return,,120692813,200572009,200572009,2023-08,US/Central,19545.817,KGAL,Network,195458170,2023-08,Gallons,1755938.8,98768,98768,South Plant AHU Condensate Return,,,,,,,6100 Main Street,Houston,TX,77005,98768-01,,Rice,,Badger,T1000,0.1,GAL,4,"4""",9,29.714072,-95.399775,J,None,Active,good,good,2024-08,,0,,,,,
South Plant AHU Condensate Return,,120692813,200572009,200572009,2023-09,US/Central,20903.8616,KGAL,Network,209038616,2023-09,Gallons,1358044.6,98768,98768,South Plant AHU Condensate Return,,,,,,,6100 Main Street,Houston,TX,77005,98768-01,,Rice,,Badger,T1000,0.1,GAL,4,"4""",9,29.714072,-95.399775,J,None,Active,good,good,2024-08,,0,,,,,
South Plant AHU Condensate Return,,120692813,200572009,200572009,2023-10,US/Central,21649.1488,KGAL,Network,216491488,2023-10,Gallons,745287.2,98768,98768,South Plant AHU Condensate Return,,,,,,,6100 Main Street,Houston,TX,77005,98768-01,,Rice,,Badger,T1000,0.1,GAL,4,"4""",9,29.714072,-95.399775,J,None,Active,good,good,2024-08,,0,,,,,
South Plant AHU Condensate Return,,120692813,200572009,200572009,2023-11,US/Central,21950.8053,KGAL,Network,219508053,2023-11,Gallons,301656.5,98768,98768,South Plant AHU Condensate Return,,,,,,,6100 Main Street,Houston,TX,77005,98768-01,,Rice,,Badger,T1000,0.1,GAL,4,"4""",9,29.714072,-95.399775,J,None,Active,good,good,2024-08,,0,,,,,
South Plant AHU Condensate Return,,120692813,200572009,200572009,2023-12,US/Central,22138.4655,KGAL,Network,221384655,2023-12,Gallons,187660.2,98768,98768,South Plant AHU Condensate Return,,,,,,,6100 Main Street,Houston,TX,77005,98768-01,,Rice,,Badger,T1000,0.1,GAL,4,"4""",9,29.714072,-95.399775,J,None,Active,good,good,2024-08,,0,,,,,
South Plant AHU Condensate Return,,120692813,200572009,200572009,2024-01,US/Central,22261.6353,KGAL,Network,222616353,2024-01,Gallons,123169.8,98768,98768,South Plant AHU Condensate Return,,,,,,,6100 Main Street,Houston,TX,77005,98768-01,,Rice,,Badger,T1000,0.1,GAL,4,"4""",9,29.714072,-95.399775,J,None,Active,good,good,2024-08,,0,,,,,
South Plant AHU Condensate Return,,120692813,200572009,200572009,2024-02,US/Central,22510.2396,KGAL,Network,225102396,2024-02,Gallons,248604.3,98768,98768,South Plant AHU Condensate Return,,,,,,,6100 Main Street,Houston,TX,77005,98768-01,,Rice,,Badger,T1000,0.1,GAL,4,"4""",9,29.714072,-95.399775,J,None,Active,good,good,2024-08,,0,,,,,
